120 240
1 :7.15231788079470210  240 :3.75316629535813462  
8474 :3.01156651509140305  8713 :5.99322489089632882  8472 :4.60585345011749592  8233 :3.41502121036408601  
8475 :6.08722190008240016  8714 :6.64693136387218875  8473 :6.61854915005951128  8234 :4.61745048371837541  
8476 :3.28104495376445815  8715 :5.10574663533432993  8474 :3.79772331919309059  8235 :7.38670003357036009  
8477 :6.13544114505447524  8716 :0.80965605639820548  8475 :0.61952574236274305  8236 :4.90035706656086933  
8478 :0.29847102267525255  8717 :6.27430036317026296  8476 :6.16779076509903224  8237 :5.03189184240241705  
8479 :1.78441724906155574  8718 :9.55351420636616133  8477 :2.98013245033112595  8238 :5.05294961394085540  
8480 :9.11465804010132175  8719 :9.07437360759300482  8478 :8.81069368572038947  8239 :7.60734885708181974  
8481 :1.64738914151432847  8720 :9.89013336588640968  8479 :4.10779137546922168  8240 :9.51597643971068408  
8482 :9.41496017334513446  8721 :5.42619098483230111  8480 :3.03506576738792067  8241 :9.97497482222968301  
8483 :4.77309488204596111  8722 :3.77483443708609290  8481 :0.83223975341044343  8242 :9.71373638111514559  
8484 :1.18381298257393119  8723 :2.60322885830256068  8482 :5.34257026886806852  8243 :7.67052217169713391  
8485 :9.43540757469405200  8724 :1.73833429975280018  8483 :5.50737022003845311  8244 :6.74977874080629903  
8486 :6.61885433515427124  8725 :7.48893704031495133  8484 :4.65163121433149218  8245 :5.22568437757499904  
8487 :8.17133091219824870  8726 :7.76940214239936555  8485 :1.36173589281899465  8246 :5.35172582171086741  
8488 :8.29493087557603737  8727 :2.08563493758964791  8486 :5.77684865871150866  8247 :5.73839533677175240  
8489 :9.07162694174016515  8728 :5.44816431165501847  8487 :4.10107730338450249  8248 :9.06674398022400574  
8490 :3.57768486587115087  8729 :0.27161473433637501  8488 :9.15280617694631715  8249 :1.69194616534928444  
8491 :3.31888790551469448  8730 :5.32792138431958939  8489 :9.75920896023438189  8250 :6.70735801263466325  
8492 :5.28946806237983314  8731 :5.80919827875606565  8490 :6.81264687032685323  8251 :7.02597125156407376  
8493 :8.97701956236457477  8732 :3.56944486831263141  8491 :8.80001220740379075  8252 :0.04516739402447584  
8494 :8.62025818659016707  8733 :1.60283211767937250  8492 :4.61439863277077578  8253 :0.45625171666615805  
8495 :1.02969450972014531  8734 :1.82287057100131222  8493 :6.46900845362712484  8254 :2.75887325663014638  
8496 :4.29395428327280460  8735 :0.20599993896298105  8494 :0.71626941740165406  8255 :0.04669331949827570  
8497 :7.67021698660237394  8736 :8.36024048585467128  8495 :9.39451277199621515  8256 :0.62654499954222231  
8498 :7.98333689382610512  8737 :5.58091982787560692  8496 :0.30457472457045198  8257 :9.02798547318948863  
8499 :2.83974730674153886  8738 :0.45899838251899777  8497 :8.43989379558702346  8258 :2.97341837824640631  
8500 :5.97094637897885061  8739 :6.10339671010467821  8498 :6.57002471999267534  8259 :2.86751915036469640  
8501 :5.01724295785393881  8740 :8.03460798974578161  8499 :7.80419324320200225  8260 :5.36576433606982661  
8502 :7.06625568407238980  8741 :8.82320627460554796  8500 :7.93328653828547026  8261 :7.59147923215430165  
8503 :2.25745414593951210  8742 :8.52320932645649521  8501 :0.37415692617572560  8262 :3.55632190923795299  
8504 :0.76723532822656937  8743 :4.97146519363994255  8502 :1.52226325266273999  8263 :9.35361796929838007  
8505 :3.48155156102175978  8744 :3.01400799584948276  8503 :9.32676168095950153  8264 :8.68068483535264157  
8506 :1.67668691061128583  8745 :6.71742912076174203  8504 :2.90017395550401336  8265 :5.25681325724051618  
8507 :6.01428266243476628  8746 :3.63353373821222592  8505 :5.97857600634784969  8266 :3.70067445905941961  
8508 :0.16479995117038485  8747 :5.17685476241340403  8506 :2.03863643299661224  8267 :5.42252876369518155  
8509 :9.37467574083681754  8748 :2.17688528092287958  8507 :3.88958403271584219  8268 :1.10202337717825860  
8510 :9.28403576769310668  8749 :9.67040009765923081  8508 :5.54795983764153000  8269 :6.31092257454145944  
8511 :5.31388286996063108  8750 :9.99176000244148099  8509 :9.21323282570879165  8270 :1.83812982573931083  
8512 :7.93176061281167044  8751 :8.22992645039216342  8510 :5.15060884426404630  8271 :5.29190954313791284  
8513 :4.10534989471114198  8752 :9.10916470839564241  8511 :7.29880672627948890  8272 :5.52537614062929183  
8514 :0.26581621753593554  8753 :9.35789056062501956  8512 :2.41004669331949817  8273 :6.46504104739524532  
8515 :7.08304086428418866  8754 :4.62935270241401398  8513 :5.54216132084108981  8274 :1.88909573656422625  
8516 :1.36936552018799396  8755 :5.03494369335001668  8514 :9.70610675374614651  8275 :7.73033845027008848  
8517 :5.43046357615894060  8756 :8.35291604358043216  8515 :2.48847926267281094  8276 :3.45805230872524172  
8518 :9.16257209997863775  8757 :4.97634815515610196  8516 :7.46147038178655375  8277 :9.10763878292184259  
8519 :5.22080141605883963  8758 :3.66222113711966291  8517 :3.18338572344126725  8278 :9.51139866328928463  
8520 :2.56660664693136376  8759 :2.14148380993072296  8518 :7.61894589068269923  8279 :2.30719931638538789  
8521 :8.70448927274391870  8760 :1.65746024964140748  8519 :0.77333903012176886  8280 :1.27140110477004309  
8522 :5.92181157872249475  8761 :9.49095126194036709  8520 :3.36802270577105034  8281 :1.55125583666493738  
8523 :1.84911648915066995  8762 :8.53694265572069533  8521 :4.35926389355143851  8282 :8.35169530320139231  
8524 :9.64598529007843197  8763 :7.99401837214270472  8522 :5.12070070497756902  8283 :5.64287240211188124  
8525 :8.12891018402661203  8764 :4.22986541337321054  8523 :3.09579760124515513  8284 :6.45008697775200623  
8526 :7.15323343607898199  8765 :5.88641010773033813  8524 :2.73781548509170802  8285 :1.28635517441328173  
8527 :8.56257820368053224  8766 :2.28186895352031005  8525 :6.54530472731711743  8286 :6.29505294961394046  
8528 :8.01538132877590215  8767 :9.18027283547471562  8526 :4.00799584948271104  8287 :7.65831476790673538  
8529 :8.00378429517502354  8768 :0.98391674550614949  8527 :1.27719962157048239  8288 :3.84105960264900670  
8530 :7.37662892544328130  8769 :3.41776787621692568  8528 :9.37040314951017805  8289 :2.22724082155827530  
8531 :7.67845698416089384  8770 :5.75853755302590997  8529 :3.72142704550309755  8290 :1.71391949217200223  
8532 :1.61748100222785118  8771 :6.68324839014862526  8530 :2.89468062379833357  8291 :7.82494582964567975  
8533 :3.97595141453291401  8772 :2.79000213629566352  8531 :9.26847132786034678  8292 :1.90588091677602467  
8534 :0.27069917905209512  8773 :3.85845515305032505  8532 :9.50590533158360529  8293 :0.96530045472579118  
8535 :3.48643452253791919  8774 :3.90942106387524024  8533 :7.62138737144077894  8294 :9.72075563829462652  
8536 :4.18164616840113545  8775 :2.13080233161412380  8534 :8.46064638203070096  8295 :1.41544846949674974  
8537 :4.29059724723044500  8776 :2.72591326639606901  8535 :4.39832758568071558  8296 :8.96908474990081572  
8538 :9.92584002197332715  8777 :7.75200659199804676  8536 :3.07565538499099711  8297 :3.01675466170232243  
8539 :3.49894711142307813  8778 :2.00964384899441528  8537 :8.98312326425977403  8298 :8.41425824762718655  
8540 :0.47059541611987671  8779 :4.04492324594866748  8538 :6.70247505111850295  8299 :5.75365459150975056  
8541 :1.04037598803674425  8780 :2.32612079226050605  8539 :8.62575151829584641  8300 :9.46745200964384814  
8542 :2.09143345439008765  8781 :0.66164128543961909  8540 :4.95406964323862464  8301 :9.07467879268776478  
8543 :9.70183416241950702  8782 :1.91656239509262361  8541 :8.79726554155095108  8302 :5.13260292367320758  
8544 :7.53379924924466682  8783 :4.09222693563646356  8542 :4.18256172368541534  8303 :6.46290475173192558  
8545 :1.41575365459150970  8784 :7.83288064210943968  8543 :9.78789635914182021  8304 :0.20233771782586138  
8546 :5.42771691030610093  8785 :9.42045350505081380  8544 :6.20532853175450949  8305 :1.25614185003204448  
8547 :9.80193487350077852  8786 :8.31904049806207446  8545 :9.55992309335612056  8306 :2.70241401409955140  
8548 :5.95385601367229267  8787 :3.33353679006317316  8546 :9.28098391674550527  8307 :3.71807000946073796  
8549 :8.95413068025757575  8788 :6.44459364604632690  8547 :2.85012359996337761  8308 :6.58803064058351406  
8550 :2.75460066530350645  8789 :8.37946714682454896  8548 :5.33585619678334933  8309 :9.35666982024597971  
8551 :8.48048341319010035  8790 :4.98733481856746153  8549 :6.52027954954680045  8310 :5.68803979613635668  
8552 :1.10049745170445878  8791 :8.47468489638966105  8550 :3.44218268379772319  8311 :8.49543748283333855  
8553 :4.79140598773155890  8792 :2.56691183202612372  8551 :1.15848261970885336  8312 :8.90163884395886029  
8554 :2.30262153996398800  8793 :5.66118350779747903  8552 :9.54313791314432258  8313 :7.09463789788506727  
8555 :8.64009521774956468  8794 :1.02542191839350560  8553 :8.93185216834009843  8314 :6.64204840235602934  
8556 :4.37757499923703719  8795 :8.11578722495193361  8554 :2.42896816919461633  8315 :8.82106997894222822  
8557 :8.91079439680166097  8796 :4.06323435163426616  8555 :7.68639179662465288  8316 :8.53358561967833573  
8558 :8.96206549272133479  8797 :9.40641499069185549  8556 :5.96575823236793124  8317 :8.36664937284463051  
8559 :2.65694143498031554  8798 :7.11874752037110525  8557 :1.30069887386700023  8318 :2.35541856135746341  
8560 :4.47462385937070817  8799 :9.00143436994537183  8558 :7.56950590533158341  8319 :6.02191228980376625  
8561 :1.39255958738975183  8800 :8.50306711020233763  8559 :6.28681295205542146  8320 :4.23841059602649040  
8562 :5.53331095309305088  8801 :4.02600177007354976  8560 :2.93435468611713013  8321 :3.49345377971739879  
8563 :3.62926114688558599  8802 :1.78319650868251589  8561 :4.63942381054109276  8322 :0.10803552354503006  
8564 :8.61629078035828755  8803 :2.27088229010895093  8562 :7.00888088625751493  8323 :0.97598193304239023  
8565 :3.66618854335154287  8804 :9.41373943296609461  8563 :2.94106875820184932  8324 :8.38312936796166852  
8566 :3.97747734000671427  8805 :6.45008697775200623  8564 :1.22104556413464760  8325 :5.47227393414105645  
8567 :6.62831507309183010  8806 :7.61894589068269923  8565 :7.71202734458449068  8326 :3.91735587633899973  
8568 :3.81115146336252941  8807 :9.70824304940946625  8566 :6.95791497543260018  8327 :0.36255989257484666  
8569 :9.75737784966582211  8808 :2.52815332499160750  8567 :7.01071199682607471  8328 :3.19803460798974593  
8570 :6.66524246955778654  8809 :2.37830744346446110  8568 :5.28916287728507317  8329 :6.22638630329294696  
8571 :9.94811853389080447  8810 :7.55699331644642491  8569 :8.28760643330179825  8330 :0.78890346995452743  
8572 :8.10510574663533490  8811 :9.99114963225196107  8570 :2.94473097933896888  8331 :2.91116061891537203  
8573 :7.53959776604510612  8812 :2.03863643299661224  8571 :2.48451185644093142  8332 :7.02749717703787358  
8574 :7.62779625843073816  8813 :2.53028962065492724  8572 :4.54237495040742179  8333 :2.85409100619525757  
8575 :6.35425885799737511  8814 :1.10995818964201787  8573 :4.38856166264839587  8334 :6.96768089846491900  
8576 :1.82714316232795193  8815 :4.94277779473250511  8574 :1.06295968504898219  8335 :5.65172276985992017  
8577 :9.98504593035676180  8816 :6.84255500961333052  8575 :9.23154393139439122  8336 :0.57771538438062686  
8578 :3.80626850184637000  8817 :8.89461958677938114  8576 :4.57747123630481845  8337 :3.87981810968352292  
8579 :4.33637501144444126  8818 :0.62410351878414261  8577 :5.54216132084108981  8338 :4.18500320444349505  
8580 :8.84304330576494557  8819 :5.78051087984862821  8578 :9.22360911893063218  8339 :0.16510513626514481  
8581 :6.41254921109652987  8820 :6.79494613483077448  8579 :4.24848170415356918  8340 :3.16995757927182842  
8582 :6.30237739188818047  8821 :0.97964415417950990  8580 :8.43165379802850445  8341 :5.50431836909085348  
8583 :9.35636463515121974  8822 :7.52647480697042770  8581 :4.02844325083162946  8342 :5.91265602587969585  
8584 :7.80236213263344247  8823 :9.36613055818353857  8582 :8.40266121402630617  8343 :8.83419293801690664  
8585 :3.73882259590441590  8824 :8.95779290139469531  8583 :2.91207617419965192  8344 :8.98770104068117348  
8586 :1.62694174016541027  8825 :2.06366161076693011  8584 :7.83379619739371957  8345 :7.85332804345835722  
8587 :5.09811700796533085  8826 :8.57600634784997062  8585 :6.13238929410687561  8346 :3.60942411572618793  
8588 :3.39060640278328806  8827 :4.45600756859035041  8586 :3.89416180913724164  8347 :1.09073152867213974  
8589 :7.72850733970152870  8828 :3.85021515549180560  8587 :0.22736289559617909  8348 :3.32743308816797390  
8590 :2.95236060670796840  8829 :5.44358653523361902  8588 :4.45356608783227070  8349 :1.22837000640888694  
8591 :4.71907712027344584  8830 :2.11401715140232538  8589 :3.39213232825708788  8350 :2.97219763786736646  
8592 :7.57896664326914316  8831 :7.95129245887630809  8590 :6.55751213110751685  8351 :9.66887417218543099  
8593 :4.24359874263740977  8832 :1.69866023743400363  8591 :2.07861568041016875  8352 :8.85006256294442650  
8594 :1.35990478225043487  8833 :0.68666646320993685  8592 :1.15359965819269394  8353 :2.35724967192602319  
8595 :2.09875789666432677  8834 :4.31470686971648298  8593 :3.84990997039704563  8354 :0.18707846308786280  
8596 :0.87221900082399972  8835 :1.14719077120273449  8594 :4.06872768333994550  8355 :6.85232093264564934  
8597 :0.49378948332163458  8836 :8.68617816705832091  8595 :6.47907956175420363  8356 :1.82805871761223182  
8598 :7.09250160222174753  8837 :9.87945188756981096  8596 :3.23618274483474222  8357 :0.64363536484878081  
8599 :3.08969389934995586  8838 :5.43259987182226034  8597 :3.30210272530289606  8358 :8.17804498428296789  
8600 :3.56181524094363233  8839 :5.98406933805352903  8598 :2.17047639393292036  8359 :0.72603534043397322  
8601 :6.28711813715018142  8840 :3.20261238441114537  8599 :4.81978820154423637  8360 :8.39930417798394657  
8602 :0.80111087374492629  8841 :3.87737662892544321  8600 :9.69634083071382769  8361 :4.41663869136631337  
8603 :6.76686910611285786  8842 :6.05578783532212306  8601 :6.54866176335947792  8362 :2.85653248695333728  
8604 :6.97347941526535831  8843 :1.29612109744560078  8602 :5.92181157872249475  8363 :1.42643513290810886  
8605 :5.27787102877895453  8844 :2.09570604571672714  8603 :3.12234870448927282  8364 :0.81301309244056519  
8606 :4.79873043000579891  8845 :8.55677968688009294  8604 :4.46913052766502883  8365 :7.18100527970213953  
8607 :6.67775505844294592  8846 :3.35337382122257166  8605 :8.64375743888668424  8366 :9.37406537064729761  
8608 :4.71846675008392591  8847 :9.06247138889736625  8606 :0.94759971922971287  8367 :7.38975188451795972  
8609 :6.21936704611346780  8848 :6.91946165349284303  8607 :3.28592791528061756  8368 :3.68297372356334130  
8610 :4.30799279763176379  8849 :1.06204412976470230  8608 :7.68272957548753332  8369 :3.86730552079836443  
8611 :2.09234900967436754  8850 :7.32718894009216548  8609 :6.14490188299203499  8370 :8.36848048341319029  
8612 :3.94268623920407713  8851 :0.65675832392345956  8610 :4.69008453627124844  8371 :1.60313730277413247  
8613 :4.21155430768761274  8852 :0.18494216742454297  8611 :4.33973204748680086  8372 :0.23590807824945831  
8614 :8.71120334482863790  8853 :6.05853450117496273  8612 :6.90481276894436480  8373 :7.08212530899990877  
8615 :9.25473799859614843  8854 :7.06045716727195050  8613 :8.36451307718131076  8374 :2.21686452833643610  
8616 :6.57826471755119524  8855 :3.09701834162419498  8614 :7.65678884243293556  8375 :7.85515915402691700  
8617 :1.95287942136906034  8856 :1.61076693014313177  8615 :3.69090853602710034  8376 :8.56166264839625235  
8618 :2.80098879970702219  8857 :1.97943052461317781  8616 :8.39625232703634694  8377 :3.35795159764397111  
8619 :2.62947477645191796  8858 :6.96890163884395886  8617 :8.61812189092684733  8378 :1.28482924893948169  
8620 :0.59114352855006558  8859 :5.29618213446455233  8618 :4.67238380077517057  8379 :6.98446607867671787  
8621 :0.98879970702230902  8860 :4.37238685262611781  8619 :8.37580492568742940  8380 :7.86309396649067693  
8622 :8.03064058351390031  8861 :7.27958006530961033  8620 :8.35840937528611150  8381 :9.40305795464949412  
8623 :6.15527817621387374  8862 :3.05001983703115931  8621 :5.47502059999389612  8382 :0.17609179967650379  
8624 :1.23355815301980654  8863 :4.31134983367412339  8622 :6.12811670278023612  8383 :3.13058870204779183  
8625 :2.96273689992980760  8864 :1.35196996978667561  8623 :6.31000701925717955  8384 :4.70686971648304731  
8626 :3.76323740348521385  8865 :6.68111209448530552  8624 :4.18378246406445520  8385 :8.35077974791711242  
8627 :4.49324015015106681  8866 :9.13418988616595939  8625 :4.00921658986175089  8386 :3.98236030152287368  
8628 :2.29255043183690921  8867 :1.59398174993133335  8626 :9.23123874629963126  8387 :9.98474074526200184  
8629 :0.86581011383404038  8868 :1.38920255134739223  8627 :7.53776665547654634  8388 :9.27274391918698626  
8630 :8.52198858607745535  8869 :7.42759483626819694  8628 :5.70696127201147529  8389 :6.01092562639240668  
8631 :4.27686391796624665  8870 :3.13180944242683168  8629 :7.04794457838679200  8390 :4.53352458265938285  
8632 :7.34000671407208483  8871 :9.24069948423719012  8630 :9.25534836878566836  8391 :7.03726310007019240  
8633 :0.28687398907437361  8872 :5.53025910214545124  8631 :5.48203985717337527  8392 :1.60344248786889243  
8634 :1.23966185491500602  8873 :5.53056428724021121  8632 :6.45344401379436672  8393 :7.11905270546586522  
8635 :5.36210211493270705  8874 :3.28775902584917734  8633 :6.42262031922360954  8394 :6.64845728934598856  
8636 :0.98269600512710964  8875 :6.24164555803094601  8634 :0.79012421033356728  8395 :5.83086642048402393  
8637 :0.66164128543961909  8876 :3.27829828791161848  8635 :8.19513534958952583  8396 :7.85607470931119689  
8638 :2.51106295968504911  8877 :2.02215643787957378  8636 :4.89059114352854962  8397 :1.58604693746757408  
8639 :2.07831049531540879  8878 :4.42732016968291298  8637 :4.21857356486709190  8398 :4.38306833094271653  
8879 :0.11352885525070956  8638 :4.73281044953764418  8399 :8.99319437238685282  
8641 :6.20807519760734916  8880 :6.52516251106295986  8400 :8.84487441633350713  
8642 :9.60783715323343657  8881 :6.54957731864375781  8640 :5.83910641804254293  8401 :9.20407727286599275  
8643 :5.67674794763023804  8882 :0.74922940763573109  8641 :4.47676015503402791  8402 :4.20819727164525315  
8644 :4.02478102969450990  8883 :7.28324228644672989  8642 :5.16006958220160517  8403 :6.24408703878902571  
8645 :0.83651234473708302  8884 :2.56263924069948423  8643 :8.75789666432691405  8404 :7.39646595660267980  
8646 :0.78005310220648827  8885 :4.81673635059663674  8644 :8.88760032959990198  8405 :6.89657277138584579  
8647 :0.91189306314279606  8886 :3.62132633442182694  8645 :9.58189642017883791  8406 :9.37040314951017805  
8648 :2.18451490829187911  8887 :6.63197729422894966  8646 :1.33457441938535726  8407 :7.94946134830774831  
8649 :6.36036255989257526  8888 :0.08880886257515183  8647 :5.84002197332682282  8408 :1.30771813104647960  
8650 :1.15054780724509409  8889 :4.65437788018433185  8648 :4.73097933896908440  8409 :8.69045075838496039  
8651 :1.38706625568407249  8890 :3.14065981017487106  8649 :2.64046143986327708  8410 :1.98553422650837730  
8652 :9.04477065340128838  8891 :1.70018616290780367  8650 :9.88586077455977019  8411 :8.91781365398114012  
8653 :9.92004150517288785  8892 :1.03213599047822502  8651 :5.09781182287057089  8412 :6.41132847071749001  
8654 :9.78728598895230029  8893 :9.17142246772667669  8652 :3.10312204351939469  8413 :8.19544053468428579  
8655 :7.83562730796227935  8894 :2.42164372692037722  8653 :8.37214270455030984  8414 :5.70757164220099522  
8656 :0.20599993896298105  8895 :5.99871822260200815  8654 :9.34598834192938099  8415 :6.36249885555589501  
8657 :1.43742179631946776  8896 :0.93813898129215367  8655 :3.95641956846827592  8416 :8.24488052003540162  
8658 :6.63655507065034911  8897 :8.84029663991210590  8656 :1.64860988189336832  8417 :5.29068880275887299  
8659 :2.18115787224951951  8898 :1.00436414685506770  8657 :2.21869563890499588  8418 :2.02246162297433374  
8660 :7.77367473372600504  8899 :3.52488784447767589  8658 :6.78334910122989587  8419 :1.89184240241706592  
8661 :7.65160069582201618  8900 :4.90401928769798889  8659 :1.18808557390057068  8420 :8.30408642841883626  
8662 :3.77361369670705304  8901 :7.74773400067140727  8660 :7.17215491195410060  8421 :2.37586596270638140  
8663 :8.78963591418195200  8902 :1.10477004303109827  8661 :1.59550767540513316  8422 :6.49830622272408220  
8664 :1.60588396862697236  8903 :5.01541184728537814  8662 :9.05148472548600758  8423 :7.75841547898800599  
8665 :3.36741233558153041  8904 :3.82702108829004795  8663 :8.16278572954496973  8424 :0.29175695059053314  
8666 :6.65364543595690794  8905 :9.84252449110385363  8664 :6.88772240363780597  8425 :0.61891537217322301  
8667 :5.71733756523331405  8906 :3.86455885494552431  8665 :7.14011047700430268  8426 :5.03433332316049675  
8668 :0.56581316568498796  8907 :4.19507431257057384  8666 :4.03881954405346821  8427 :3.10892056031983399  
8669 :2.70607623523667096  8908 :0.65523239844965975  8667 :0.09735404522843104  8428 :6.36829737235633431  
8670 :5.35935544907986650  8909 :5.18723105563524278  8668 :9.67070528275399077  8429 :6.20868556779686909  
8671 :5.96301156651509157  8910 :5.60106204412976449  8669 :3.96221808526871566  8430 :0.11322367015594959  
8672 :3.76964629047517308  8911 :4.02661214026306968  8670 :1.91900387585070353  8431 :0.23499252296517839  
8673 :0.35554063539536729  8912 :6.63808099612414892  8671 :7.30826746421704776  8432 :3.39976195562608741  
8674 :5.85314493240150124  8913 :6.20807519760734916  8672 :7.30582598345896805  8433 :6.60176396984771241  
8675 :8.71669667653431723  8914 :4.05743583483382686  8673 :2.89498580889309354  8434 :7.04947050386059182  
8676 :1.83751945554979090  8915 :2.96121097445600778  8674 :6.40095217749565126  8435 :0.82308420056764431  
8677 :2.81991027558214036  8916 :7.57530442213202271  8675 :6.45771660512100620  8436 :9.21018097476119202  
8678 :1.22562334055604727  8917 :3.94390697958311698  8676 :5.73809015167699243  8437 :6.77571947386089679  
8679 :0.60884426404614400  8918 :4.65285195471053203  8677 :1.74382763145847952  8438 :0.23773918881801812  
8680 :8.14477980895413012  8919 :1.18839075899533064  8678 :5.97827082125308973  8439 :2.20343638416699728  
8681 :9.67040009765923081  8920 :0.06714072084719383  8679 :1.80608539078951380  8440 :8.83022553178502712  
8682 :2.94778283028656896  8921 :4.29700613422040512  8680 :6.32312997833185797  8441 :5.47715689565721586  
8683 :6.96279793694875959  8922 :6.73207800531022027  8681 :6.53706472975859842  8442 :9.40733054597613538  
8684 :0.06836146122623371  8923 :6.88650166325876611  8682 :5.18021179845576363  8443 :3.60118411816766848  
8685 :4.79293191320535872  8924 :7.76604510635700596  8683 :6.46198919644764569  8444 :0.74739829706717120  
8686 :2.11798455763420534  8925 :4.28327280495620588  8684 :7.07632679219946858  8445 :1.47221289712210446  
8687 :3.04208502456740026  8926 :9.81566820276497687  8685 :2.77504806665242487  8446 :5.86779381694998037  
8688 :0.24109622486037782  8927 :2.47077852717673263  8686 :5.82140568254646418  8447 :2.38624225592822059  
8689 :7.64213995788445732  8928 :7.62352366710409868  8687 :3.63109225745414577  8448 :3.15744499038666948  
8690 :0.71443830683309428  8929 :8.28180791650135895  8688 :3.92284920804467907  8449 :9.79674672688985915  
8691 :5.30228583635975248  8930 :9.84984893337809453  8689 :6.68172246467482545  8450 :8.76155888546403361  
8692 :7.79931028168584284  8931 :0.84597308267464222  8690 :8.25067903683584092  8451 :0.32258064516129031  
8693 :4.48683126316110759  8932 :6.14246040223395529  8691 :7.86706137272255646  8452 :0.21179845576342052  
8694 :2.84340952787865842  8933 :4.28449354533524573  8692 :1.94921720023194056  8453 :8.00592059083834329  
8695 :2.63985106967375716  8934 :5.45670949430829832  8693 :6.45283364360484590  8454 :1.31229590746787927  
8696 :9.63255714590899359  8935 :1.65471358378856781  8694 :2.60292367320780071  8455 :9.81933042390209643  
8697 :9.66399121066927158  8936 :5.62700277718436226  8695 :6.32068849757377826  8456 :8.26960051271095864  
8698 :5.99078341013824911  8937 :0.14679403057954649  8696 :6.65059358500930831  8457 :2.42439039277321688  
8699 :7.64366588335825714  8938 :4.18469801934873509  8697 :3.50718710898159713  8458 :7.07693716238898851  
8700 :1.63426618243964961  8939 :7.52830591753898748  8698 :0.04791405987731559  8459 :0.17914365062410351  
8701 :6.82546464430677169  8940 :0.43122653889584034  8699 :9.99176000244148099  8460 :2.14636677144688237  
8702 :2.27088229010895093  8941 :9.83855708487197411  8700 :5.18356883449812322  8461 :4.39649647511215580  
8703 :7.84264656514175851  8942 :8.75698110904263416  8701 :3.73607593005157623  8462 :6.19312112796411007  
8704 :9.95330668050172385  8943 :0.33509323404644920  8702 :4.04095583971678796  8463 :3.85052034058656556  
8705 :0.19104586931974243  8944 :3.21085238196966438  8703 :4.97543259987182207  8464 :1.36570329905087440  
8706 :9.67802972502822989  8945 :9.69054231391338838  8704 :7.61406292916653982  8465 :6.53614917447431854  
8707 :6.95791497543260018  8946 :3.32285531174657445  8705 :8.75423444318979449  8466 :1.63121433149204997  
8708 :2.24005859553819375  8947 :7.43339335306863624  8706 :1.57109286782433544  8467 :2.67555772576067374  
8709 :5.79607531968138634  8948 :1.17191076387829218  8707 :3.71684926908169810  8468 :6.40736106448561049  
8710 :3.33323160496841320  8949 :4.64827417828913259  8708 :8.16858424634540903  8469 :8.97671437726981480  
8711 :6.15222632526627411  8950 :9.70824304940946625  8709 :7.14774010437330265  8470 :5.44419690542313894  
8712 :8.90133365886410033  8951 :7.91863765373699113  8710 :4.41450239570299363  8471 :4.14105655079805945  
8713 :2.74239326151310792  8952 :2.32154301583910661  8711 :6.25782036805322406  8472 :4.95834223456526413  
8714 :6.73909726248970031  8953 :4.52131717886898432  8712 :6.48365733817560308  8473 :5.62120426038392296  
8715 :5.27909176915799438  8954 :3.66374706259346272  8713 :5.72588274788659302  8474 :5.01541184728537814  
8716 :4.34553056428724016  8955 :8.87447737052522356  8714 :0.38087099826044496  8475 :7.62840662862025809  
8717 :4.44807275612659048  8956 :1.71697134311960209  8715 :1.48686178167058314  8476 :8.16278572954496973  
8718 :3.02499465926084188  8957 :0.23071993163853877  8716 :8.85616626483962577  8477 :0.39124729148228399  
8719 :4.13373210852381945  8958 :1.11606189153721735  8717 :0.77120273445844900  8478 :9.31211279641102330  
8720 :8.23694570757164257  8959 :1.62388988921781063  8718 :4.56617938779869981  8479 :0.66347239600817898  
8721 :9.89776299325540876  8960 :7.71721549119541006  8719 :8.39259010589922738  8480 :6.87185277871028788  
8722 :6.20014038514358923  8961 :0.06225775933103427  8720 :9.49247718741416691  8481 :3.48002563554795996  
8723 :3.70311593981749931  8962 :4.41816461684011319  8721 :9.28830835901974616  8482 :5.13199255348368766  
8724 :6.74245429853205991  8963 :7.97723319193090585  8722 :0.60060426648762477  8483 :5.16708883938108432  
8725 :4.89272743919187025  8964 :8.23084200567644331  8723 :7.30857264931180772  8484 :7.89391766106143411  
8726 :2.40272225104525905  8965 :5.91448713644825563  8724 :1.75969725638599805  8485 :7.59849848933378080  
8727 :7.41508224738303756  8966 :8.59828485976744972  8725 :0.25391399884029664  8486 :3.35581530198065137  
8728 :3.78307443464461191  8967 :6.48304696798608315  8726 :1.90069277016510507  8487 :3.70403149510177920  
8729 :3.30057679982909624  8968 :6.96798608355967897  8727 :1.16733298745689251  8488 :0.24384289071321757  
8730 :1.14963225196081420  8969 :9.54893642994476188  8728 :9.43540757469405200  8489 :4.22742393261513083  
8731 :2.38868373668630030  8970 :7.61070589312418022  8729 :5.86931974242378018  8490 :5.19608142338328172  
8732 :2.28431043427838976  8971 :8.67915890987884175  8730 :2.91695913571581178  8491 :5.73381756035035206  
8733 :8.30500198370311615  8972 :9.69023712881862842  8731 :6.74977874080629903  8492 :1.39408551286355165  
8734 :6.58680990020447421  8973 :8.84029663991210590  8732 :7.95648060548722835  8493 :9.86754966887417240  
8735 :0.68544572283089689  8974 :0.58473464156010624  8733 :2.80587176122318205  8494 :8.44721823786126258  
8736 :5.42527542954802122  8975 :5.34043397320474877  8734 :0.38544877468184452  8495 :3.86028626361888483  
8737 :3.65611743522446364  8976 :0.45777764213995786  8735 :5.93279824213385432  8496 :3.52397228919339600  
